
  0%|          | 0/100 [00:00<?, ?it/s]
Loss score: 1.983 | Error score: 40.741%:  96%|█████████▌| 96/100 [08:27<00:20,  5.23s/it]
Loss score: 1.801 | Error score: 38.889%:  96%|█████████▌| 96/100 [08:32<00:20,  5.23s/it]
Loss score: 1.801 | Error score: 38.889%:  97%|█████████▋| 97/100 [08:32<00:15,  5.22s/it]
Loss score: 1.661 | Error score: 31.481%:  97%|█████████▋| 97/100 [08:38<00:15,  5.22s/it]
Loss score: 1.661 | Error score: 31.481%:  98%|█████████▊| 98/100 [08:38<00:10,  5.24s/it]
Loss score: 2.384 | Error score: 48.148%:  98%|█████████▊| 98/100 [08:43<00:10,  5.24s/it]
Loss score: 2.384 | Error score: 48.148%:  99%|█████████▉| 99/100 [08:43<00:05,  5.22s/it]
Loss score: 1.624 | Error score: 31.481%:  99%|█████████▉| 99/100 [08:48<00:05,  5.22s/it]
Loss score: 1.624 | Error score: 31.481%: 100%|██████████| 100/100 [08:48<00:00,  5.23s/it]
Loss score: 1.624 | Error score: 31.481%: 100%|██████████| 100/100 [08:48<00:00,  5.29s/it]
